id,signup_method,gender,age,language,affiliate_channel,affiliate_provider,signup_app,first_device_type,first_browser,booking,treatment,total_actions,unique_actions,total_secs_elapsed,avg_secs_per_action
1g18fjgi2m,basic,FEMALE,35.0,en,sem-brand,google,Web,Windows Desktop,Chrome,1,0,53,18,3179962.0,55788.80701754386
c3lzbrher6,basic,MALE,24.0,en,direct,direct,Web,Mac Desktop,Safari,0,0,119,20,5098309.0,43206.00847457627
dcnhhxmtbc,facebook,FEMALE,26.0,en,api,other,iOS,iPhone,-unknown-,0,1,3,3,248.0,124.0
msfo4las9k,basic,MALE,60.0,en,remarketing,google,Web,iPad,Mobile Safari,1,0,12,8,203518.0,18501.636363636364
4n32dm2435,basic,MALE,42.0,en,other,facebook-open-graph,Web,Mac Desktop,Safari,1,0,10,6,717269.0,71726.9
5gacrsk7ga,facebook,MALE,40.0,en,api,other,iOS,iPhone,-unknown-,0,1,3,3,256.0,128.0
unkvmpwxo2,basic,FEMALE,54.0,en,direct,direct,Web,Mac Desktop,Safari,0,0,34,14,2761580.0,83684.24242424243
fwfyvfv4nh,facebook,MALE,40.0,en,api,other,Android,Other/Unknown,-unknown-,0,0,33,8,231778.0,7243.0625
mrvjvk6ycy,facebook,MALE,22.0,en,direct,direct,Web,Mac Desktop,Chrome,1,0,126,18,1166019.0,9254.119047619048
d6r5a2l398,facebook,MALE,25.0,en,api,other,Android,Other/Unknown,-unknown-,1,0,42,9,440117.0,10734.560975609756
28yljyrv34,facebook,MALE,29.0,en,direct,direct,Web,Desktop (Other),Chrome,0,0,14,5,244450.0,16296.666666666666
hsjlbix4qq,facebook,MALE,41.0,en,api,other,iOS,iPhone,-unknown-,0,1,3,3,295.0,147.5
uo0xd756p6,basic,MALE,22.0,en,direct,direct,iOS,iPhone,Mobile Safari,0,1,4,4,45917.0,15305.666666666666
gg6b14vkqh,facebook,MALE,25.0,en,sem-brand,google,Web,Mac Desktop,Chrome,0,0,190,22,1445782.0,7452.484536082474
prh9vhoskj,facebook,FEMALE,57.0,en,sem-brand,google,Web,Mac Desktop,Safari,0,0,149,22,2805406.0,18955.445945945947
ub5mr9ucpz,basic,FEMALE,47.0,en,sem-brand,google,Web,iPad,Mobile Safari,0,0,18,10,290768.0,17104.0
ckkcg778ej,basic,MALE,46.0,en,direct,direct,Web,Mac Desktop,Chrome,0,0,132,29,3584984.0,27366.29007633588
gcu0wykuxe,facebook,MALE,29.0,en,api,other,iOS,Mac Desktop,Chrome,0,1,3,3,1123.0,561.5
9tbwi11zfw,facebook,MALE,24.0,en,direct,direct,Web,Mac Desktop,Safari,0,0,42,11,834205.0,18959.204545454544
yetxlyyeja,basic,MALE,34.0,en,direct,direct,Web,Windows Desktop,IE,1,0,20,14,533502.0,26675.1
x8i6d6vl3z,facebook,MALE,24.0,en,api,other,iOS,Other/Unknown,-unknown-,0,1,3,3,275.0,137.5
ne62ok6xaf,facebook,MALE,35.0,en,api,other,iOS,iPhone,Mobile Safari,1,1,3,3,643.0,321.5
ccl1h3nes7,basic,MALE,47.0,en,direct,direct,Moweb,Mac Desktop,Chrome,1,0,9,7,290406.0,36300.75
qdzx8bye52,basic,MALE,68.0,en,direct,direct,Web,Mac Desktop,Safari,0,0,122,27,1748998.0,14454.528925619834
lbp4915zp9,facebook,MALE,38.0,en,sem-brand,google,Web,Mac Desktop,Safari,1,0,69,11,887841.0,13056.485294117649
ot40mdgv5w,basic,FEMALE,54.0,en,sem-non-brand,google,Web,Windows Desktop,Chrome,1,0,32,8,941023.0,30355.58064516129
ihi4gy0dyl,basic,FEMALE,29.0,en,direct,direct,Web,Windows Desktop,Chrome,1,0,8,6,512839.0,73262.71428571429
kpnmjq1ppj,basic,MALE,37.0,en,direct,direct,Web,Mac Desktop,Chrome,1,0,44,31,5003220.0,113709.54545454546
guj7f7sjve,basic,MALE,41.0,en,direct,direct,Web,Windows Desktop,Chrome,0,0,12,11,443298.0,36941.5
x18h0fhwom,basic,MALE,43.0,en,direct,direct,Web,Windows Desktop,Firefox,0,0,47,25,1114335.0,24224.67391304348
6ghzgyjfrf,facebook,FEMALE,45.0,en,direct,direct,Web,Mac Desktop,Safari,1,0,89,11,4445863.0,46798.55789473684
06pzk21x5s,facebook,FEMALE,27.0,en,direct,direct,Web,iPhone,Mobile Safari,0,0,28,10,102709.0,3804.037037037037
ax3fuye53v,basic,FEMALE,46.0,en,direct,direct,Web,Mac Desktop,Safari,0,0,26,22,804346.0,32173.84
u3nj5puz9o,basic,FEMALE,25.0,fr,direct,direct,Web,Windows Desktop,IE,0,0,8,7,45461.0,5682.625
ospxjl3y2s,basic,FEMALE,34.0,en,direct,direct,Moweb,Android Phone,Chrome Mobile,1,0,31,7,867781.0,27992.93548387097
grxpzfy58m,facebook,FEMALE,40.0,en,api,other,iOS,iPhone,-unknown-,1,1,384,15,3338285.0,8716.148825065275
weajbcg37h,basic,FEMALE,31.0,en,sem-non-brand,google,Web,Windows Desktop,Chrome,1,0,42,27,2636466.0,62773.0
qfb13v8xti,basic,MALE,54.0,en,direct,direct,Web,Windows Desktop,IE,0,0,61,29,2261592.0,37693.2
ifskukj20l,facebook,FEMALE,41.0,en,direct,direct,Web,Windows Desktop,Chrome,0,0,68,24,1573611.0,23486.731343283584
kv5nk5t1bq,facebook,MALE,62.0,en,direct,direct,Web,iPad,Mobile Safari,0,0,97,18,1383992.0,14416.583333333334
9svjpkjzmd,facebook,FEMALE,51.0,en,api,other,iOS,Windows Desktop,Chrome,0,1,8,4,265012.0,37858.857142857145
qc0yb3oi8a,facebook,MALE,35.0,en,api,other,iOS,iPhone,-unknown-,0,1,3,3,1189.0,594.5
djj0fftf0m,facebook,FEMALE,21.0,en,seo,facebook,Web,Windows Desktop,Firefox,0,0,11,9,125580.0,12558.0
rlzzowgaji,basic,FEMALE,56.0,en,sem-brand,google,Web,Mac Desktop,Safari,0,0,11,5,331110.0,33111.0
kawgkf68d0,basic,MALE,42.0,en,api,other,Android,Other/Unknown,-unknown-,1,0,95,18,665130.0,7075.851063829788
033oexa2qw,facebook,MALE,27.0,en,api,other,Android,Other/Unknown,-unknown-,0,0,34,10,886828.0,26873.575757575756
hz5i5coxcz,facebook,FEMALE,31.0,en,sem-brand,google,Web,Windows Desktop,IE,0,0,23,5,578255.0,26284.31818181818
m8lh34i1zz,facebook,FEMALE,36.0,en,direct,direct,Web,iPad,Mobile Safari,1,0,32,13,941800.0,30380.64516129032
kj5y15ndu0,facebook,FEMALE,36.0,en,seo,google,Web,iPad,Mobile Safari,0,0,42,9,623605.0,15209.878048780489
y1rs6e7jyh,basic,MALE,39.0,en,direct,direct,Web,Mac Desktop,Chrome,1,0,180,18,3137629.0,17528.653631284917
izalz0ftbi,facebook,MALE,32.0,en,direct,direct,Web,Mac Desktop,Chrome,0,0,43,17,577744.0,13755.809523809525
fu725nxa46,basic,MALE,36.0,en,direct,direct,Web,Mac Desktop,Chrome,1,0,14,8,209705.0,16131.153846153846
qxj9uuzcvc,basic,MALE,45.0,en,direct,direct,Web,Windows Desktop,Firefox,0,0,38,24,734855.0,19860.945945945947
lnropcu3a0,basic,FEMALE,24.0,en,direct,direct,Web,Windows Desktop,Chrome,1,0,67,24,2083318.0,31094.298507462685
zepgy5emhl,facebook,MALE,26.0,en,direct,direct,Web,Mac Desktop,Chrome,1,0,35,17,1843685.0,51213.47222222222
sfstd5rzsi,facebook,MALE,18.0,pt,api,other,iOS,Windows Desktop,Chrome,0,1,3,3,655.0,327.5
08kx4pqoih,basic,MALE,50.0,en,direct,direct,Web,iPad,Mobile Safari,1,0,4,4,48225.0,16075.0
0gwnjqum9m,facebook,MALE,27.0,en,api,other,iOS,iPhone,Mobile Safari,1,1,12,10,898344.0,81667.63636363637
0l461nxs9e,facebook,FEMALE,22.0,en,sem-brand,google,Web,Mac Desktop,Chrome,1,0,66,11,744587.0,11281.621212121212
72efxf8p14,facebook,FEMALE,29.0,en,seo,google,Web,Mac Desktop,Chrome,1,0,2,2,3647.0,3647.0
ttqygsjhf9,facebook,FEMALE,41.0,it,sem-non-brand,google,Web,Mac Desktop,Safari,0,0,275,19,4215222.0,15328.08
1tkb8vully,facebook,MALE,29.0,en,direct,direct,Web,Mac Desktop,Safari,1,0,142,15,2779269.0,19572.316901408452
u34j5v6w0d,facebook,MALE,33.0,en,direct,direct,Web,Mac Desktop,Chrome,1,0,21,9,994883.0,49744.15
d7x0a3jea6,facebook,MALE,24.0,en,api,other,Android,Other/Unknown,-unknown-,0,0,33,8,182729.0,5710.28125
ws05jbp0v7,basic,FEMALE,33.0,en,direct,direct,Web,Mac Desktop,Firefox,1,0,5,5,30310.0,7577.5
a3obqrlwam,facebook,MALE,84.0,en,direct,direct,Web,Windows Desktop,Firefox,0,0,13,8,62296.0,5191.333333333333
5v00ftnhc5,basic,FEMALE,29.0,en,sem-brand,google,Web,iPad,Mobile Safari,1,0,48,21,1271772.0,27058.978723404256
te30jc8eff,basic,FEMALE,59.0,en,direct,direct,Web,Windows Desktop,IE,1,0,78,31,2807172.0,35533.82278481012
lj6kx9mqic,facebook,MALE,39.0,en,sem-brand,google,Web,iPad,Mobile Safari,1,0,479,18,4429828.0,9114.87242798354
almpj8xrnt,basic,MALE,25.0,en,direct,direct,Web,Mac Desktop,Chrome,1,0,2,2,4510.0,4510.0
raatnx2x8u,basic,MALE,24.0,en,direct,direct,Web,Mac Desktop,Chrome,1,0,149,20,3157916.0,21052.773333333334
pn1mtw0lkb,facebook,MALE,37.0,en,direct,direct,Web,Windows Desktop,Chrome,0,0,125,20,1395218.0,10900.140625
g1pcf3wkat,facebook,FEMALE,55.0,en,direct,direct,Web,Windows Desktop,IE,0,0,8,8,277837.0,39691.0
l35zr89crl,basic,MALE,23.0,fr,sem-non-brand,google,Web,Windows Desktop,Firefox,0,0,49,16,638563.0,13303.395833333334
862vv9ey77,basic,MALE,31.0,en,direct,direct,Web,Mac Desktop,Chrome,1,0,23,13,1753084.0,76221.04347826086
ilgbcr5q4e,facebook,FEMALE,31.0,en,api,other,iOS,Mac Desktop,Chrome,0,1,3,3,620.0,310.0
9i1b63wx8d,facebook,FEMALE,33.0,zh,seo,facebook,Web,Android Tablet,IE,1,0,11,8,166039.0,16603.9
hgao67zp6q,facebook,MALE,34.0,en,direct,direct,Web,Mac Desktop,Safari,0,0,267,38,2371125.0,8814.591078066915
32do3mfi79,facebook,FEMALE,28.0,en,direct,direct,Web,iPad,Mobile Safari,0,0,55,13,1157608.0,21437.185185185182
wxlx861nmj,facebook,FEMALE,28.0,en,api,other,iOS,iPhone,-unknown-,1,1,110,11,2124443.0,19490.302752293577
eh8chxztoh,basic,MALE,42.0,en,direct,direct,Web,Mac Desktop,Safari,0,0,28,12,262249.0,9366.035714285714
6i6vq5w7z8,basic,MALE,38.0,en,direct,direct,iOS,Mac Desktop,Safari,1,1,28,18,916043.0,33927.51851851852
vo6xsfcocf,basic,MALE,67.0,en,sem-brand,google,Web,Mac Desktop,Safari,1,0,23,14,529382.0,24062.81818181818
tue0sqxoer,facebook,MALE,25.0,en,api,other,iOS,Mac Desktop,Chrome,0,1,3,3,922.0,461.0
slr9qld4ca,facebook,MALE,30.0,en,sem-brand,google,Web,Mac Desktop,Safari,0,0,148,12,1637813.0,11141.585034013606
igbne8wew4,basic,FEMALE,26.0,en,direct,direct,iOS,iPhone,-unknown-,0,1,160,17,1315402.0,8221.2625
7lc3892xpc,basic,FEMALE,58.0,en,sem-non-brand,google,Web,Windows Desktop,Chrome,1,0,17,7,61499.0,3617.5882352941176
bjchtvf472,basic,FEMALE,47.0,en,direct,direct,Web,Mac Desktop,Firefox,1,0,28,20,1575610.0,56271.78571428572
wmwzbvnjcz,facebook,MALE,38.0,en,direct,direct,Web,Mac Desktop,Firefox,1,0,525,14,3720957.0,7101.062977099236
l7g17xezzi,basic,MALE,57.0,en,direct,direct,Web,Mac Desktop,Safari,1,0,16,9,229901.0,15326.733333333334
t5je0x8nt7,basic,FEMALE,30.0,en,sem-brand,google,Web,Mac Desktop,Chrome,1,0,33,18,891051.0,27001.545454545456
ztdzdesuyp,facebook,FEMALE,31.0,en,api,other,iOS,Windows Desktop,Chrome,0,1,3,3,580.0,290.0
9oj2qswzdc,facebook,MALE,25.0,en,direct,direct,Web,Desktop (Other),Chrome,0,0,7,6,280520.0,46753.333333333336
sqjlgwzxvg,facebook,MALE,65.0,en,api,other,iOS,iPad,Mobile Safari,0,1,3,3,236.0,118.0
kjgp64mw5e,basic,MALE,30.0,en,sem-brand,google,Web,Mac Desktop,Safari,0,0,115,14,2998804.0,26305.29824561403
oxhq020kmo,basic,FEMALE,29.0,en,direct,direct,Web,Mac Desktop,Safari,1,0,88,32,2677809.0,30087.74157303371
lg2bk7c488,facebook,MALE,36.0,en,remarketing,google,Web,Windows Desktop,Firefox,0,0,23,9,1193856.0,54266.181818181816
kk5pf4afvk,facebook,MALE,37.0,en,api,other,iOS,iPhone,-unknown-,1,1,278,27,2527938.0,9126.129963898917
639fux5kqc,facebook,MALE,22.0,en,direct,direct,Web,iPad,Mobile Safari,0,0,62,12,1443276.0,23660.262295081968
saf3cdazsk,facebook,MALE,26.0,zh,sem-brand,google,Web,Windows Desktop,Firefox,0,0,31,14,2893666.0,96455.53333333334
c5tevjye8u,facebook,FEMALE,26.0,en,direct,direct,Web,Windows Desktop,IE,0,0,9,5,106049.0,13256.125
aestb4lmbq,basic,MALE,31.0,en,direct,direct,Web,Desktop (Other),Chromium,1,0,11,9,1204590.0,120459.0
gizwpqm0mf,basic,MALE,50.0,en,direct,direct,iOS,iPhone,-unknown-,0,1,2,2,490.0,490.0
xcen8qrglc,facebook,MALE,39.0,en,direct,direct,Web,Mac Desktop,Safari,0,0,106,16,454004.0,4323.847619047619
h9jcr44jcy,facebook,FEMALE,25.0,en,api,other,iOS,iPhone,Mobile Safari,0,1,3,3,621.0,310.5
yc8jany3sq,basic,FEMALE,19.0,en,seo,google,Web,iPad,Mobile Safari,0,0,70,15,1788183.0,25915.695652173912
6efta2fnvv,basic,FEMALE,32.0,en,sem-brand,google,Web,Windows Desktop,Firefox,1,0,116,29,1874718.0,16161.362068965518
6ych1q18gs,basic,FEMALE,37.0,en,direct,direct,Web,Mac Desktop,Safari,0,0,58,12,4739610.0,83151.05263157895
th2324gfgb,basic,MALE,51.0,en,direct,direct,Web,Windows Desktop,IE,0,0,58,19,3175481.0,55710.19298245614
rb8yaqs8ui,basic,FEMALE,68.0,en,direct,direct,Web,Windows Desktop,Firefox,1,0,58,9,1176733.0,20644.43859649123
lnvfd9aoyy,facebook,MALE,28.0,ko,direct,direct,Web,Windows Desktop,IE,1,0,103,14,710666.0,6899.669902912621
sgqp9v6a45,basic,FEMALE,24.0,en,sem-brand,google,Web,Mac Desktop,Safari,1,0,8,7,384906.0,54986.57142857143
u9u01qysad,facebook,MALE,27.0,en,sem-brand,google,Web,Desktop (Other),Chrome,0,0,8,5,27488.0,3926.857142857142
yphlmcuftl,facebook,FEMALE,24.0,ko,sem-brand,google,Web,Windows Desktop,Chrome,0,0,178,24,3853749.0,21529.32402234637
i8u98dq8ru,basic,MALE,24.0,en,direct,direct,Web,Windows Desktop,Chrome,0,0,62,13,2218359.0,36366.54098360656
bgq5efve9k,facebook,MALE,28.0,en,api,other,iOS,iPhone,Mobile Safari,1,1,3,3,918.0,459.0
p960dmwylo,facebook,MALE,47.0,en,other,other,Web,Windows Desktop,Chrome,0,0,3,3,234611.0,117305.5
t7bfvedvgk,facebook,MALE,22.0,zh,api,other,iOS,Mac Desktop,Chrome,0,1,3,3,560.0,280.0
v2ywksukfw,facebook,FEMALE,53.0,en,content,google,Web,Windows Desktop,Chrome,0,0,9,4,615815.0,76976.875
af0xpc239d,facebook,MALE,27.0,es,api,other,iOS,iPhone,-unknown-,0,1,3,3,274.0,137.0
drpfxuvcfs,facebook,MALE,32.0,en,api,other,iOS,Other/Unknown,-unknown-,0,1,3,3,787.0,393.5
yitb6vxgi7,facebook,MALE,33.0,en,direct,direct,Web,Windows Desktop,IE,1,0,6,5,405737.0,81147.4
84t9w6geqb,basic,MALE,67.0,en,direct,direct,Web,iPad,Mobile Safari,1,0,16,12,1266320.0,84421.33333333333
mwx49dp8pv,facebook,MALE,57.0,en,sem-non-brand,google,Web,Mac Desktop,Safari,0,0,52,13,803429.0,15450.557692307691
mkn2n76fov,basic,FEMALE,38.0,en,sem-non-brand,google,Web,Windows Desktop,IE,1,0,19,11,3023347.0,151167.35
cwho6ay53f,facebook,MALE,31.0,el,sem-brand,google,Web,Windows Desktop,Opera,0,0,57,19,2383343.0,42559.69642857143
epj462z7bf,basic,MALE,73.0,en,direct,direct,Web,Windows Desktop,Firefox,1,0,43,22,2675911.0,63712.166666666664
4iyapghlo8,facebook,FEMALE,47.0,en,other,facebook-open-graph,Web,Mac Desktop,Firefox,0,0,12,5,690961.0,62814.63636363636
7197cql6lp,basic,FEMALE,57.0,en,direct,direct,Web,Mac Desktop,Safari,1,0,1,1,919.0,919.0
ntqotc4vsm,facebook,MALE,41.0,en,sem-brand,google,Web,Windows Desktop,Firefox,1,0,5,5,709617.0,141923.4
lr7zlob0ya,basic,FEMALE,66.0,en,sem-brand,google,Web,Windows Desktop,IE,1,0,34,24,2496123.0,73415.38235294117
znj2l3v5u3,basic,FEMALE,22.0,en,seo,facebook,Web,Mac Desktop,Chrome,1,0,25,13,4226331.0,150940.39285714287
dmefr5uaiw,basic,MALE,40.0,en,direct,direct,Web,Mac Desktop,Safari,1,0,69,17,2923626.0,42371.391304347824
v1penj61kr,basic,FEMALE,31.0,en,direct,direct,Web,Windows Desktop,Chrome,1,0,49,10,3373442.0,70280.04166666667
bpbch2gad3,facebook,MALE,42.0,en,direct,direct,Web,Windows Desktop,Firefox,1,0,6,6,76019.0,15203.8
9nut71te0s,facebook,FEMALE,43.0,en,direct,direct,Web,Android Tablet,IE,0,0,59,16,1659715.0,28130.762711864405
yxarafki87,facebook,FEMALE,30.0,en,direct,direct,Web,Windows Desktop,Firefox,1,0,29,17,1179630.0,42129.642857142855
l617ynfqxp,facebook,MALE,38.0,en,direct,direct,Web,Mac Desktop,Firefox,0,0,143,12,1330920.0,9372.676056338029
3u5nf8fwgu,basic,FEMALE,25.0,en,direct,direct,Web,Windows Desktop,Chrome,1,0,10,7,419238.0,46582.0
46l68emabb,basic,MALE,30.0,en,direct,direct,Web,Windows Desktop,IE,1,0,19,12,2047419.0,107758.8947368421
p6br7uru6s,facebook,FEMALE,27.0,en,direct,direct,Web,Windows Desktop,Chrome,0,0,17,12,264776.0,16548.5
kei2swdk7n,basic,FEMALE,39.0,en,direct,direct,Web,Windows Desktop,IE,1,0,8,7,714522.0,89315.25
i22eumvz2n,facebook,MALE,29.0,zh,seo,google,Web,Windows Desktop,Chrome,0,0,2,2,629.0,629.0
666wgdcp76,basic,MALE,41.0,en,sem-brand,google,Web,Windows Desktop,Chrome,1,0,5,5,17811.0,4452.75
fphotb8jdo,basic,FEMALE,33.0,en,sem-non-brand,google,Web,Windows Desktop,Chrome,1,0,13,7,182203.0,15183.583333333334
qk6bw4w4uh,facebook,FEMALE,30.0,en,direct,direct,Web,Mac Desktop,Firefox,1,0,4,3,30563.0,10187.666666666666
lptphuzvqu,basic,FEMALE,28.0,en,sem-brand,google,Web,Mac Desktop,Chrome,1,0,57,22,1549288.0,27665.85714285714
6k8ov8dr9k,facebook,MALE,41.0,ko,content,google,Web,Mac Desktop,Chrome,0,0,90,18,1290453.0,14499.47191011236
98jeibnoq6,basic,FEMALE,41.0,en,sem-brand,google,Web,Mac Desktop,Firefox,1,0,39,11,452589.0,11910.236842105263
mxani6riq2,facebook,FEMALE,34.0,en,api,other,iOS,iPhone,-unknown-,0,1,36,11,354481.0,10128.028571428573
bik2hlivrc,basic,FEMALE,35.0,en,direct,direct,Web,Mac Desktop,Chrome,1,0,93,10,993835.0,10802.554347826086
m37kumz0at,facebook,FEMALE,59.0,en,sem-brand,google,Web,Windows Desktop,IE,1,0,30,13,705404.0,24324.275862068964
jn9qipdey5,basic,MALE,31.0,en,direct,direct,Web,Windows Desktop,Chrome,1,0,25,16,1793486.0,71739.44
w7kxmjecn9,facebook,FEMALE,33.0,en,direct,direct,Web,Windows Desktop,Chrome,0,0,107,19,1714023.0,16170.028301886792
quhu497tkk,facebook,MALE,39.0,en,seo,google,Web,Windows Desktop,Chrome,0,0,29,5,165886.0,4879.0
u12j7yn70m,facebook,FEMALE,39.0,en,direct,direct,Web,Windows Desktop,IE,0,0,51,20,975290.0,19505.8
lgmtkx0313,basic,FEMALE,41.0,en,direct,direct,Web,Mac Desktop,Safari,1,0,88,19,5305732.0,57671.0
039664pl26,basic,FEMALE,25.0,en,sem-non-brand,google,Web,Mac Desktop,Safari,1,0,76,26,1504846.0,19800.605263157893
9jsdxfnvnf,basic,MALE,26.0,en,direct,direct,Web,Windows Desktop,Chrome,1,0,36,10,132277.0,3480.9736842105262
f4e7hn5q0b,basic,MALE,39.0,en,seo,google,Web,Windows Desktop,Chrome,1,0,21,17,857183.0,38962.86363636364
0zltwue43l,basic,FEMALE,27.0,en,seo,google,Web,Windows Desktop,Chrome,1,0,20,10,1855177.0,97640.8947368421
fyca452nk1,basic,FEMALE,63.0,en,sem-non-brand,bing,Web,Windows Desktop,Chrome,1,0,19,10,2246923.0,118259.1052631579
su3dqavr3m,basic,FEMALE,36.0,en,sem-non-brand,google,Web,iPad,Mobile Safari,0,0,1,1,683.0,683.0
q0t3hisl5v,basic,MALE,61.0,en,direct,direct,Web,Mac Desktop,Safari,0,0,67,31,1795894.0,27210.515151515152
pw1w4a5tbr,facebook,MALE,41.0,en,direct,direct,Web,Windows Desktop,IE,1,0,21,16,1683594.0,80171.14285714286
kjcjsq6eg3,basic,MALE,50.0,sv,direct,direct,Web,Mac Desktop,Safari,1,0,37,20,5529531.0,145513.97368421053
0teb2f9sxu,facebook,MALE,28.0,en,direct,direct,Web,Windows Desktop,Chrome,1,0,259,18,3455143.0,13137.425855513307
b0rhqali8i,basic,MALE,32.0,en,direct,direct,Web,Windows Desktop,Chrome,0,0,23,16,317805.0,14445.681818181818
3l77c9axia,facebook,FEMALE,85.0,en,direct,direct,Web,Windows Desktop,IE,1,0,42,18,632302.0,15422.0
b8meb8ctyi,basic,FEMALE,24.0,en,direct,direct,Web,Mac Desktop,Safari,1,0,1081,15,5274023.0,4883.35462962963
1lox83p90z,basic,MALE,30.0,en,sem-brand,google,Web,Mac Desktop,Safari,1,0,51,12,898455.0,17969.1
5ijxpqg0lq,facebook,FEMALE,28.0,en,api,other,Moweb,Mac Desktop,Safari,1,0,16,7,2907319.0,181707.4375
igkvae2ujc,facebook,MALE,39.0,en,direct,direct,Web,Mac Desktop,Firefox,1,0,119,17,1662826.0,13518.91056910569
4bpkbaqps4,facebook,MALE,22.0,en,sem-brand,google,Web,Mac Desktop,Chrome,0,0,11,7,550549.0,55054.9
exxqxaz13c,basic,FEMALE,29.0,en,sem-brand,google,Web,Mac Desktop,Safari,0,0,25,12,2314655.0,92586.2
bdbz844k90,basic,MALE,71.0,en,sem-non-brand,google,Web,Windows Desktop,Chrome,1,0,41,15,979361.0,23886.853658536584
4kbf2aa5v9,basic,MALE,41.0,en,direct,direct,Web,Mac Desktop,Firefox,0,0,17,7,1069232.0,66827.0
3faqght3pq,facebook,MALE,26.0,en,other,padmapper,Web,Windows Desktop,Chrome,1,0,14,11,493019.0,35215.642857142855
dqlt33esv8,facebook,FEMALE,31.0,en,api,other,iOS,iPad,Mobile Safari,0,1,3,3,260.0,130.0
95ifb6unff,basic,MALE,46.0,en,direct,direct,Moweb,Windows Desktop,IE,0,0,17,8,2742546.0,161326.23529411765
25dn8yu0fr,facebook,FEMALE,25.0,en,api,other,iOS,iPhone,-unknown-,0,1,125,13,1169809.0,9433.943548387097
3cqcz2zsu1,facebook,MALE,28.0,en,direct,direct,Web,Mac Desktop,Chrome,1,0,8,6,205737.0,25717.125
hwor6tb0lp,basic,MALE,26.0,en,direct,direct,Web,iPad,Mobile Safari,1,0,33,12,1137835.0,33465.73529411765
i5d1749c93,basic,MALE,31.0,en,sem-non-brand,google,Web,Mac Desktop,Safari,1,0,32,20,913262.0,28539.4375
7ulw6nzhoh,facebook,FEMALE,21.0,en,api,other,iOS,iPhone,-unknown-,0,1,3,3,633.0,316.5
v5qp43guif,basic,FEMALE,28.0,en,sem-non-brand,google,Web,iPad,Mobile Safari,0,0,63,13,2063684.0,33285.22580645161
h618m2t8w1,basic,MALE,63.0,en,sem-brand,google,Web,iPad,Mobile Safari,0,0,10,10,467534.0,51948.22222222222
0k5512tvai,basic,MALE,44.0,en,content,google,Web,Mac Desktop,Safari,0,0,51,8,723086.0,14461.72
6rg5dn6y92,basic,FEMALE,57.0,it,direct,direct,Web,iPad,Mobile Safari,0,0,187,37,8204904.0,44112.3870967742
9doa2oq1vy,basic,MALE,43.0,en,direct,direct,Web,Windows Desktop,Firefox,0,0,14,12,236931.0,18225.46153846154
wanl1d81fs,facebook,FEMALE,26.0,en,api,other,iOS,iPhone,-unknown-,1,1,3,3,321.0,160.5
a1r3f08h08,basic,MALE,23.0,en,sem-brand,google,Web,Mac Desktop,Safari,1,0,120,22,5182786.0,42481.852459016394
pu8d71xkd0,basic,FEMALE,47.0,en,sem-brand,google,Web,Windows Desktop,Chrome,0,0,9,8,143799.0,17974.875
89h1ksygye,facebook,FEMALE,41.0,en,sem-non-brand,google,Web,iPad,Mobile Safari,1,0,119,13,3032209.0,25696.686440677968
elaj8wh70c,facebook,FEMALE,37.0,en,api,other,iOS,iPhone,-unknown-,0,1,10,8,320772.0,35641.333333333336
